1.182.189.170	1.187.189.228
1.108.124.171	1.113.65.210
1.108.124.228	1.113.7.199
3.108.65.210	3.113.117.93
12.164.7.159	12.169.127.93
15.229.117.93	15.234.138.51
28.229.117.93	28.234.135.94
28.44.138.51	28.49.221.179
28.125.135.54	28.130.61.211
28.210.221.179	28.215.38.212
36.55.51.211	36.60.38.251
36.84.38.212	36.89.49.5
39.84.38.251	39.89.157.128
39.84.39.5	39.89.31.200
39.164.157.128	39.169.130.103
39.119.31.200	39.124.94.233
43.22.120.103	43.27.8.86
43.5.94.233	43.10.182.186
43.147.8.86	43.152.13.89
43.46.172.186	43.51.85.8
43.48.13.89	43.53.217.157
43.205.85.8	43.210.249.120
43.37.207.157	43.42.250.152
43.37.249.120	43.42.138.109
43.37.250.152	43.42.52.239
43.63.128.109	43.68.212.42
49.80.52.239	49.85.170.1
55.119.212.2	55.124.180.23
58.151.170.1	58.156.105.169
60.151.170.23	60.156.159.1
64.83.105.169	64.88.74.133
64.197.159.227	64.202.178.124
65.5.74.133	65.10.33.19
65.134.168.124	65.139.5.234
67.164.33.19	67.169.244.31
68.181.5.194	69.186.151.208
69.38.244.31	69.43.85.213
69.1.141.208	69.6.17.60
70.235.85.213	70.240.133.252
70.250.17.20	70.254.35.132
73.40.133.252	73.45.76.175
73.172.25.132	73.177.121.34
73.157.76.175	73.162.43.150
73.41.121.34	73.46.121.252
73.211.33.150	73.216.90.108
73.6.67.252	73.11.249.142
73.25.90.68	73.30.79.166
74.49.249.142	78.54.75.3
74.84.69.166	125.89.231.207
75.19.75.3	154.24.176.130
76.20.231.167	134.25.72.74
79.73.176.130	124.78.251.248
80.9.62.74	124.14.23.128
85.161.251.248	104.166.207.106
89.197.23.128	100.202.183.145
95.227.197.106	101.232.145.13
97.229.183.145	102.234.155.16
97.146.145.13	100.151.145.24
99.146.145.16	101.151.145.65
100.146.145.24	101.151.145.44
101.146.145.25	101.151.160.28
101.146.145.44	102.151.57.25
101.12.150.28	104.17.113.249
102.122.57.25	104.127.103.40
104.123.113.209	106.128.187.51
104.204.103.40	106.209.14.202
106.53.177.51	106.58.177.135
106.170.14.202	107.175.120.218
106.49.160.95	108.54.226.166
107.51.120.218	108.56.66.124
108.9.216.166	108.14.211.162
108.9.66.124	109.14.23.158
108.154.211.122	109.159.216.35
109.79.23.158	109.84.44.150
109.139.206.35	111.144.188.45
109.193.44.150	111.198.22.63
111.180.188.5	111.185.188.86
111.16.22.63	111.21.19.225
111.10.87.86	111.15.48.232
111.85.19.225	111.90.48.219
111.69.48.219	112.74.58.219
111.69.48.219	112.74.48.219
112.69.48.219	112.74.48.124
112.69.48.219	112.74.48.219
112.69.48.219	114.74.58.219
112.69.48.219	114.74.48.219
114.69.48.219	116.74.48.14
114.69.48.219	116.74.48.219
116.69.48.219	116.74.58.219
116.69.48.219	118.74.48.219
116.69.48.219	119.74.54.142
118.69.48.219	119.74.48.219
119.69.48.219	119.74.58.219
119.69.48.219	120.74.48.219
119.69.48.219	121.74.48.200
120.69.48.219	122.74.48.219
121.69.48.219	126.74.58.219
122.69.48.219	127.74.19.10
126.69.48.219	127.74.215.90
127.139.19.10	128.144.185.156
127.225.215.50	128.230.198.195
128.150.185.156	128.155.185.173
128.182.188.195	130.187.101.197
128.21.144.173	130.26.108.194
130.80.101.157	131.85.105.31
130.113.108.194	134.118.218.136
131.201.95.31	137.206.218.176
134.88.218.136	147.93.218.136
137.88.218.136	137.93.226.23
137.88.218.136	137.93.218.245
137.197.216.23	139.202.152.183
137.36.197.245	149.41.208.115
139.136.152.143	139.141.233.154
139.136.208.115	139.141.225.103
139.136.223.154	139.141.234.186
139.136.225.103	150.141.254.221
139.136.234.146	140.141.69.172
140.136.254.221	140.141.28.119
140.136.59.172	140.141.181.108
140.138.28.119	150.143.246.134
140.158.181.68	143.163.70.16
140.255.246.134	146.255.63.121
143.29.60.16	156.34.63.166
146.29.63.121	146.34.73.70
146.29.63.166	146.34.64.72
146.29.63.70	157.34.54.84
146.29.63.72	153.34.175.237
147.79.54.84	153.84.40.160
153.104.165.237	155.109.40.222
153.1.40.160	167.6.223.194
155.1.40.182	158.6.233.194
157.17.223.194	158.22.0.158
158.17.223.194	161.22.24.185
158.201.0.158	171.206.148.34
161.214.24.145	161.219.66.234
161.223.148.34	161.228.148.240
161.241.56.234	171.246.201.48
161.30.76.240	171.35.80.206
161.37.201.48	161.42.202.224
161.27.80.206	161.32.80.226
161.27.80.224	171.32.80.237
161.27.80.226	161.32.113.125
161.27.80.237	161.32.74.21
161.1.103.125	171.6.87.167
161.32.74.21	161.37.72.213
161.47.87.167	161.52.155.143
161.68.62.213	171.73.55.35
161.70.155.143	161.75.144.156
161.72.55.35	161.77.83.32
161.73.134.156	171.78.175.24
161.223.83.32	161.228.220.179
161.4.175.24	166.9.94.60
161.4.210.179	182.9.249.204
166.183.94.60	193.188.179.110
182.206.249.164	183.211.107.212
183.219.179.110	184.224.101.113
183.220.97.212	191.225.101.156
184.139.101.113	205.144.101.117
191.139.101.116	198.144.111.120
